plot_id,contributor,longitude,latitude,fire_year,sample_year,time_since_fire,distance_seed_source,fire_severity_category,shrub_cover,grass_cover,forb_cover,canopy_cover,count_CONIF.ALLSP,plot_size_CONIF.ALLSP
BST1100067,DJNY,-120.59758490958711,39.62193380469097,2006,2011,5,43,high,40,0.5,20,0,9,60
BST1100069,DJNY,-120.59293521851414,39.6220220957751,2006,2011,5,3.9,high,8,0.5,5,22,57,60
BST1100071,DJNY,-120.58834159359112,39.62208568949553,2006,2011,5,108,high,85,0.5,2,0,1,60
BST1100072,DJNY,-120.58593535657457,39.62214198946616,2006,2011,5,11.9,high,85,10,20,0,3,60
BST1100090,DJNY,-120.59761771497831,39.62385436944151,2006,2011,5,27.8,high,1,2,3,0,6,60
BST1100109,DJNY,-120.60928515656947,39.62555707202234,2006,2011,5,4.8,high,40,0,4,4,11,60
BST1100113,DJNY,-120.59995256419549,39.62563236510058,2006,2011,5,60.2,high,60,0.5,5,0,15,60
BST1100114,DJNY,-120.59754928589061,39.625619958053335,2006,2011,5,18.2,high,10,0.5,20,0,9,60
BST1100119,DJNY,-120.58595475009676,39.62567207221522,2006,2011,5,45.4,high,65,0.5,8,0,15,60
BST1100134,DJNY,-120.60935180607251,39.627346532160594,2006,2011,5,5.5,high,35,0.5,5,10,0,60
BST1100143,DJNY,-120.58830909138943,39.627452056258676,2006,2011,5,8.3,high,65,1,4,5,0,60
BST1100144,DJNY,-120.58590843065332,39.627024332647935,2006,2011,5,14.3,high,40,0,0.5,20,6,60
BST1100159,DJNY,-120.61162254893473,39.629198470498,2006,2011,5,14.8,high,50,0,1,0.5,0,60
BST1100160,DJNY,-120.60929066073774,39.62915263949984,2006,2011,5,7.8,high,36,2,70,0,34,60
BST1100172,DJNY,-120.58132265298117,39.62927417069487,2006,2011,5,24.7,high,80,0,4,0,0,60
BST1100193,DJNY,-120.59069692573674,39.631103652176314,2006,2011,5,66,high,45,0,0,0,24,60
BST1100194,DJNY,-120.58837640475448,39.63109826593396,2006,2011,5,46,high,55,0,30,0,0,60
BST1100196,DJNY,-120.58367846213469,39.63108553925882,2006,2011,5,69,high,65,0,0,0,0,60
BST1100197,DJNY,-120.58124683624001,39.63114589501063,2006,2011,5,2.2,high,35,0,20,20,1,60
BST1100263,DJNY,-120.58614569686262,39.63647056267599,2006,2011,5,30.9,high,4,0.5,0.5,0,68,60
BST1100264,DJNY,-120.58382714225293,39.63645044009375,2006,2011,5,16.2,high,5,0,1,0,21,60
BST1100266,DJNY,-120.5790176506988,39.63649880200334,2006,2011,5,129,high,80,0,1,0,0,60
BST1100267,DJNY,-120.57671504966085,39.63648904986671,2006,2011,5,62.2,high,45,0,1,0,0,60
BST1100269,DJNY,-120.57202060491694,39.6365626754647,2006,2011,5,125,high,55,0,15,0,0,60
BST1100270,DJNY,-120.56970439730829,39.63654556268151,2006,2011,5,96,high,65,0,0.5,0,0,60
BST1100277,DJNY,-120.56963917169077,39.632977865143936,2006,2011,5,7.7,high,20,1,2,0,0,60
BST1100283,DJNY,-120.5884392646381,39.63831306404482,2006,2011,5,2.05,high,95,2,10,0,9,60
BST1100284,DJNY,-120.58615272416948,39.63832545367597,2006,2011,5,20,high,10,30,60,0,0,60
BST1100290,DJNY,-120.5720390279693,39.63837744237329,2006,2011,5,93.5,high,55,0,0,0,0,60
BST1100304,DJNY,-120.58846648793917,39.640135041734695,2006,2011,5,7.4,high,30,0,40,0,0,60
BST1100305,DJNY,-120.5861242253764,39.64015645274676,2006,2011,5,3.1,high,36,0.5,8,7,2,60
BST1100307,DJNY,-120.58142026704718,39.64010485562672,2006,2011,5,9.2,high,50,1,20,0,282,60
BST1100308,DJNY,-120.57908862137839,39.640115895377136,2006,2011,5,13,high,1,0,1,0,0,60
BST1100312,DJNY,-120.56981660563994,39.64013910634905,2006,2011,5,3.3,high,0.5,0,0,15,0,60
BST1100313,DJNY,-120.567483386555,39.64027483226017,2006,2011,5,2,high,0,0,0,30,0,60
BST1100327,DJNY,-120.58374567613912,39.641892617671665,2006,2011,5,95,high,60,0.5,5,0,0,60
BST1100329,DJNY,-120.57915095891221,39.64195968539773,2006,2011,5,13.9,high,55,1,2,12,3,60
BST1100333,DJNY,-120.56989368731773,39.6419574423416,2006,2011,5,4.3,high,3,0,0.5,2,2,60
BST1100347,DJNY,-120.58373252159697,39.643695916439306,2006,2011,5,96.1,high,35,0.5,1,0,3,60
BST1100354,DJNY,-120.56743057303021,39.643715911247924,2006,2011,5,51.2,high,85,0,0,0,0,60
BST1100362,DJNY,-120.58610136549437,39.645476247930986,2006,2011,5,4.4,high,50,0,20,40,107,60
BTU1300021,DJNY,-121.4949137755287,39.81578284377401,2008,2013,5,23,high,95,0.5,15,0,1,60
BTU1300024,DJNY,-121.48792888393632,39.815934816144654,2008,2013,5,49,high,66,10,3,0,0,60
BTU1300025,DJNY,-121.49959534676647,39.81757998521799,2008,2013,5,NA,high,96,0,4,0,0,60
BTU1300026,DJNY,-121.49496617828535,39.81766498221541,2008,2013,5,2,high,64,20,0,0,0,60
BTU1300027,DJNY,-121.49166522552717,39.81767787772455,2008,2013,5,1,high,90,0,0,0,0,60
BTU1300028,DJNY,-121.49024991875733,39.81773046165828,2008,2013,5,6.2,high,95,0.5,2,0,0,60
BTU1300040,DJNY,-121.46014922927874,39.83064613992835,2008,2013,5,11,high,0,6,2,0,16,60
BTU1300050,DJNY,-121.43933946247574,39.839940199989094,2008,2013,5,6,high,36,60,0,0,35,60
BTU1300066,DJNY,-121.46282096550807,39.84502888391748,2008,2013,5,9.4,high,8,1,1,0,6,60
BTU1300067,DJNY,-121.46044241408033,39.84502048977435,2008,2013,5,8.7,high,1,8,8,0,19,60
BTU1300071,DJNY,-121.45113047260836,39.84518742437296,2008,2013,5,9,high,2,0,0,40,5,60
BTU1300073,DJNY,-121.44407619476102,39.8452644543673,2008,2013,5,13,high,65,0,15,0,21,60
BTU1300079,DJNY,-121.46279561872494,39.84678872535783,2008,2013,5,10,high,0,0,0,0,15,60
BTU1300081,DJNY,-121.45810413470953,39.846900242624656,2008,2013,5,5,high,10,20,0,15,18,60
BTU1300084,DJNY,-121.45113782333871,39.84694049056594,2008,2013,5,12,high,10,0,6,0,16,60
BTU1300085,DJNY,-121.44883082800474,39.84698020300999,2008,2013,5,51.5,high,17,28,15,0,0,60
BTU1300086,DJNY,-121.44644039422721,39.847029473134064,2008,2013,5,25,high,5,10,37,0,27,60
BTU1300096,DJNY,-121.4487798474546,39.848782761022086,2008,2013,5,72,high,27,30,25,0,0,60
BTU1300097,DJNY,-121.44652825816839,39.848824789989635,2008,2013,5,122,high,15,5,0,0,4,60
BTU1300098,DJNY,-121.44412487044667,39.84891167808351,2008,2013,5,10.5,high,15,30,5,0,0,60
BTU1300108,DJNY,-121.42317607667901,39.85270596828011,2008,2013,5,29,high,20,10,5,0,11,60
BTU1300117,DJNY,-121.46545682952075,39.86304042604492,2008,2013,5,NA,high,45,3,7,0,0,60
BTU1300122,DJNY,-121.46565727108026,39.868432158375256,2008,2013,5,12.5,high,10,7,20,0,11,60
BTU1300152,DJNY,-121.36428394451306,39.952385598532004,2008,2013,5,141,high,7,14,8,0,1,60
BTU1300153,DJNY,-121.36186722072496,39.952414531067454,2008,2013,5,45,high,5,15,5,0,0,60
BTU1300154,DJNY,-121.35255167428188,39.95250817427518,2008,2013,5,62,high,58,0,2,0,1,60
BTU1300155,DJNY,-121.35021133951653,39.95256335530539,2008,2014,6,84,high,65,0,0,0,1,60
BTU1300156,DJNY,-121.36427351167006,39.954203963244005,2008,2013,5,232,high,8,6,6,0,1,60
BTU1300157,DJNY,-121.36191030106846,39.954229597355685,2008,2013,5,270,high,15,0,0,0,0,60
BTU1300158,DJNY,-121.35957005552949,39.95422983200524,2008,2013,5,63,high,26,0,7,0,0,60
BTU1300160,DJNY,-121.3524940137105,39.95434982918996,2008,2013,5,137,high,46,0,3,0,1,60
BTU1300163,DJNY,-121.36194517448025,39.95602067269769,2008,2013,5,108.2,high,10,0,20,0,2,60
BTU1300164,DJNY,-121.35964655461244,39.95600086571761,2008,2013,5,NA,high,29,0,1,0,1,60
BTU1300165,DJNY,-121.3525948166574,39.95614932062911,2008,2013,5,118,high,26,0,30,0,3,60
BTU1300168,DJNY,-121.34325087572529,39.956243790954176,2008,2013,5,15.5,high,9,0,65,0,2,60
BTU1300169,DJNY,-121.35260966016966,39.95792092243767,2008,2013,5,7,high,5,0,2,0,2,60
BTU1300170,DJNY,-121.34558965153869,39.957973182202444,2008,2013,5,10.7,high,77,0,0,0,0,60
BTU1300175,DJNY,-121.35747373618761,39.966906189664485,2008,2013,5,38,high,0.5,0,96,0,13,60
BTU1300176,DJNY,-121.35516605297326,39.966926974798604,2008,2013,5,9.5,high,16,0,2,0,1,60
BTU1300180,DJNY,-121.35985047034002,39.968654841787114,2008,2013,5,23.4,high,20,0,65,0,1,60
BTU1300181,DJNY,-121.35747741897656,39.9686989822181,2008,2013,5,35,high,2,15,63,0,1,60
