"OldPLOTID","Regen_Plot","modal_ht_ft","Species","Cover","ID","modal_ht_cm","comments"
,"PWR0900081",,"ARPA6",15.00,1077,50.00,
,"PWR0900081",,"CECO",10.00,1078,35.00,
,"PWR0900081",,"QUVA",10.00,1079,50.00,
,"PWR0900048",,"CECO",50.00,1080,90.00,
,"PWR0900048",,"ARPA6",10.00,1081,45.00,
,"PWR0900048",,"CHFO",2.00,1082,40.00,
,"PWR0900048",,"CEIN3",5.00,1083,125.00,
,"PWR0900048",,"RIRO",1.00,1084,75.00,
,"PWR0900260",,"ARPA6",1.00,1085,12.00,
,"PWR0900259",,"CEIN3",40.00,1086,195.00,
,"PWR0900259",,"CHFO",10.00,1087,30.00,
,"PWR0900074",,"CHFO",20.00,1088,30.00,
,"PWR0900075",,"CHFO",35.00,1089,30.00,
,"PWR0900075",,"SANIC4",1.00,1090,178.00,
,"PWR0900045",,"CEIN3",35.00,1091,230.00,
,"PWR0900045",,"CECO",3.00,1092,140.00,
,"PWR0900045",,"RINE",1.00,1093,,
,"PWR0900045",,"SANIC4",1.00,1094,,
,"PWR0900046",,"CHFO",20.00,1095,30.00,
,"PWR0900047",,"CHFO",30.00,1096,30.00,
,"PWR0900028",,"CHFO",20.00,1097,30.00,
,"PWR0900028",,"RIRO",0.50,1098,10.00,
,"PWR0900029",,"CHFO",15.00,1099,40.00,
,"PWR0900030",,"CHFO",30.00,1100,30.00,
,"PWR0900024",,"CHFO",25.00,1101,30.00,
,"PWR0900024",,"CEIN3",1.00,1102,,
,"PWR0900089",,"CEIN3",70.00,1103,170.00,
,"PWR0900089",,"CHFO",3.00,1104,30.00,
,"PWR0900073",,"CHFO",49.00,1105,30.00,
,"PWR0900073",,"CECO",5.00,1106,80.00,
,"PWR0900187",,"CHFO",30.00,1107,30.00,
,"PWR0900187",,"CEIN3",5.00,1108,85.00,
,"PWR0900088",,"RIRO",5.00,1109,90.00,
,"PWR0900088",,"SANIC4",5.00,1110,220.00,
,"PWR0900088",,"CHFO",5.00,1111,30.00,
,"PWR0900202",,"CHFO",10.00,1112,30.00,
,"PWR0900202",,"MAAQ2",1.00,1113,30.00,
,"PWR0900142",,"CHFO",60.00,1114,40.00,
,"PWR0900189",,"CHFO",60.00,1115,30.00,
,"PWR0900189",,"CEIN3",5.00,1116,185.00,
,"PWR0900188",,"CHFO",5.00,1117,30.00,
,"PWR0900188",,"ARPA6",2.00,1118,85.00,
,"PWR0900188",,"CECO",1.00,1119,80.00,
,"PWR0900188",,"MAAQ2",1.00,1120,30.00,
,"PWR0900258",,"CEIN3",70.00,1121,180.00,
,"PWR0900209",,"CEIN3",35.00,1122,175.00,
,"PWR0900209",,"CHFO",2.00,1123,30.00,
,"PWR0900197",,"CECU",30.00,1124,170.00,
,"PWR0900198",,"CHFO",5.00,1125,30.00,
,"PWR0900198",,"CECO",5.00,1126,75.00,
,"PWR0900198",,"CEIN3",0.50,1127,30.00,
,"PWR0900220",,"CEIN3",30.00,1129,120.00,
,"PWR0900220",,"CHFO",20.00,1130,40.00,
,"PWR0900220",,"RIRO",0.50,1131,30.00,
,"PWR0900219",,"CHFO",60.00,1132,30.00,
,"PWR0900219",,"CEIN3",5.00,1133,30.00,
,"PWR0900219",,"CECO",1.00,1134,40.00,
,"PWR0900233",,"CHFO",5.00,1136,30.00,
,"PWR0900233",,"ARPA6",0.50,1137,30.00,
,"PWR0900245",,"CHFO",20.00,1138,40.00,
,"PWR0900245",,"CEIN3",5.00,1139,50.00,
,"PWR0900247",,"CEIN3",2.00,1140,150.00,
,"PWR0900247",,"ARPA6",0.50,1141,40.00,
,"PWR0900242",,"CEIN3",40.00,1142,130.00,
,"PWR0900274",,"CHFO",95.00,1143,40.00,
,"PWR0900274",,"CEIN3",0.50,1144,150.00,
,"PWR0900141",,"CECU",20.00,1146,130.00,
,"PWR0900244",,"CHFO",15.00,1147,30.00,
,"PWR0900244",,"ARPA6",0.50,1148,40.00,
,"PWR0900244",,"UNK_2",2.00,1149,150.00,
,"PWR0900244",,"CEIN3",1.00,1150,70.00,
,"PWR0900119",,"CHFO",5.00,1155,35.00,
,"PWR0900119",,"CEIN3",1.00,1156,125.00,
,"PWR0900119",,"ARPA6",1.00,1157,40.00,
,"PWR0900118",,"CHFO",40.00,1158,40.00,
,"PWR0900136",,"CEIN3",35.00,1159,240.00,
,"PWR0900136",,"RIRO",1.00,1160,120.00,
,"PWR0900199",,"CEIN3",35.00,1161,230.00,
,"PWR0900199",,"CHFO",1.00,1162,30.00,
,"PWR0900165",,"CEIN3",28.00,1163,150.00,
,"PWR0900165",,"CHFO",2.00,1164,30.00,
,"PWR0900184",,"CEIN3",80.00,1165,190.00,
,"PWR0900023",,"ARPA6",1.00,1166,30.00,
,"PWR0900023",,"CHFO",1.00,1167,30.00,
,"PWR0900023",,"CEIN3",2.00,1168,70.00,
,"PWR0900170",,"CHFO",39.00,1169,30.00,
,"PWR0900170",,"ARPA6",1.00,1170,38.00,
,"PWR0900170",,"CEIN3",5.00,1171,150.00,
,"PWR0900169",,"CEIN3",10.00,1172,175.00,
,"PWR0900169",,"CHFO",15.00,1173,40.00,
,"PWR0900223",,"CHFO",35.00,1174,40.00,
,"PWR0900224",,"CHFO",10.00,1175,30.00,
,"PWR0900225",,"CHFO",25.00,1176,30.00,
,"PWR0900236",,"CHFO",40.00,1177,30.00,
,"PWR0900236",,"ARPA6",1.00,1178,45.00,
,"PWR0900222",,"CHFO",59.00,1179,40.00,
,"PWR0900222",,"CEIN3",30.00,1180,260.00,
,"PWR0900190",,"CHFO",5.00,1181,30.00,
,"PWR0900191",,"CHFO",1.00,1182,30.00,
,"PWR0900282",,"CHFO",75.00,1183,30.00,
,"PWR0900282",,"CEIN3",5.00,1184,130.00,
,"PWR0900281",,"CHFO",5.00,1185,30.00,
,"PWR0900281",,"SALIX",5.00,1186,235.00,
,"PWR0900271",,"CEIN3",35.00,1187,235.00,
,"PWR0900272",,"RIRO",1.00,1188,60.00,
,"PWR0900263",,"CHFO",1.00,1189,30.00,
,"PWR0900263",,"CEIN3",2.00,1190,180.00,
,"PWR0900261",,"CHFO",2.00,1191,30.00,
,"PWR0900262",,"CEIN3",40.00,1192,200.00,
,"PWR0900283",,"CHFO",25.00,1193,30.00,
,"PWR0900283",,"UNK_2",5.00,1194,45.00,
,"PWR0900283",,"ARPA6",2.00,1195,35.00,
,"PWR0900248",,"CHFO",25.00,1196,20.00,
,"PWR0900248",,"CEIN3",20.00,1197,160.00,
,"PWR0900266",,"CEIN3",4.00,1198,120.00,
,"PWR0900266",,"RIRO",1.00,1199,60.00,
,"PWR0900139",,"CHFO",5.00,1200,30.00,
,"PWR0900139",,"ARPA6",0.50,1201,10.00,
,"FRD0900091",,"CHFO",65.00,1202,30.00,
,"FRD0900030",,"CHFO",15.00,1203,40.00,
,"FRD0900030",,"ARPA6",2.00,1204,50.00,
,"FRD0900030",,"CECO",0.50,1205,20.00,
,"FRD0900031",,"ARPA6",5.00,1206,60.00,
,"FRD0900031",,"CHFO",4.00,1207,30.00,
,"FRD0900031",,"CECO",1.00,1208,40.00,
,"FRD0900092",,"RIBES",10.00,1209,50.00,
,"FRD0900092",,"CEIN3",10.00,1210,165.00,
,"FRD0900033",,"CECO",2.00,1211,50.00,
,"FRD0900033",,"ARNE",2.00,1212,50.00,
,"FRD0900032",,"CHFO",20.00,1213,30.00,
,"FRD0900035",,"CECO",1.00,1214,40.00,
,"FRD0900035",,"ARPA6",1.00,1215,30.00,
,"FRD0900035",,"CHFO",1.00,1216,30.00,
,"FRD0900034",,"CHFO",10.00,1217,30.00,
,"FRD0900034",,"ARPA6",30.00,1218,120.00,
,"FRD0900034",,"CECO",1.00,1219,40.00,
,"FRD0900097",,"CHFO",30.00,1220,30.00,
,"FRD0900097",,"SYRO",1.00,1221,30.00,
,"FRD0900097",,"ARPA6",1.00,1222,75.00,
,"FRD0900097",,"CEIN3",0.50,1223,130.00,
,"FRD0900077",,"CEIN3",50.00,1224,135.00,
,"FRD0900098",,"CEIN3",5.00,1225,95.00,
,"FRD0900098",,"ARPA6",0.50,1226,20.00,
,"FRD0900075",,"CHFO",75.00,1227,30.00,
,"FRD0900075",,"RIRO",1.00,1228,55.00,
,"FRD0900076",,"CECU",70.00,1229,170.00,
,"FRD0900054",,"CEIN3",5.00,1230,260.00,
,"FRD0900054",,"PRVI",0.50,1231,90.00,
,"FRD0900053",,"CEIN3",20.00,1232,70.00,
,"FRD0900040",,"CEIN3",10.00,1233,160.00,
,"FRD0900040",,"CHFO",35.00,1234,30.00,
,"FRD0900041",,"CHFO",20.00,1235,30.00,
,"FRD0900041",,"CEIN3",1.00,1236,110.00,
,"FRD0900038",,"CEIN3",25.00,1237,135.00,
,"FRD0900038",,"CECO",30.00,1238,95.00,
,"FRD0900039",,"CECO",20.00,1239,105.00,
,"FRD0900039",,"CEIN3",4.00,1240,200.00,
,"FRD0900039",,"CHFO",15.00,1241,30.00,
,"FRD0900039",,"ROWO",1.00,1242,20.00,
,"FRD0900122",,"RIRO",0.50,1243,0.40,
,"FRD0900122",,"CEIN3",25.00,1244,1.20,
,"FRD0900122",,"SASC",0.50,1245,0.90,
,"FRD0900121",,"CHFO",55.00,1246,0.40,
,"FRD0900121",,"CEIN3",45.00,1247,1.50,
