OldPLOTID,Regen_Plot,DBH,ID,Species,comments
,BST1100214,16.8,974,ABCO,
,BST1100228,39.9,975,CADE27,
,BST1100228,21.2,976,ABCO,
,BST1100228,50.2,977,ABCO,
,BST1100228,57.9,978,ABCO,
,BST1100229,51.6,979,PIJE,
,BST1100229,42.2,980,ABCO,
,BST1100234,8.1,981,CADE27,
,BST1100234,13.3,982,ABCO,
,BST1100235,50.4,983,ABMA,
,BST1100235,17.6,984,ABCO,
,BST1100235,12.9,985,ABCO,
,BST1100255,21.9,986,ABCO,
,BST1100255,11.6,987,ABCO,
,BST1100255,15.1,988,ABCO,
,BST1100255,10.1,989,ABCO,
,BST1100255,9,990,ABCO,
,BST1100255,9.5,991,ABCO,
,BST1100255,17,992,ABCO,
,BST1100255,12.5,993,ABCO,
,BST1100255,12,994,CADE27,
,BST1100255,7.7,995,ABCO,
,BST1100255,25.2,996,ABCO,
,BST1100255,16.3,997,ABMA,
,BST1100255,22,998,ABCO,
,BST1100255,14,999,ABCO,
,BST1100255,20,1000,ABMA,
,BST1100297,24,1001,ABMA,
,BST1100318,42,1002,ABMA,
,BST1100318,32.8,1003,ABMA,
,BST1100363,8.9,1004,ABMA,
,BST1100363,8.3,1005,ABMA,
,BST1100363,8.9,1006,ABCO,
